idnaicsLookup,naicsCode,naicsName
2,111421,Nursery and Tree Production
3,111130,Dry Pea and Bean Farming
4,111219,Other Vegetable (Except Potato) and Melon Farming
5,111211,Potato Farming
6,111219,Other Vegetable (Except Potato) and Melon Farming
7,111320,Citrus (Except Orange) Groves
8,111336,Fruit and Tree Nut Combination Farming
9,111331,Apple Orchards
10,111339,Other Noncitrus Fruit Farming
11,111335,Tree Nut Farming
12,115115,Farm Labor Contractors and Crew Leaders
13,111310,Orange Groves
14,113210,Forest Nurseries and Gathering of Forest Products
15,112910,Apiculture
16,112310,Chicken Egg Production
17,112320,Broilers and Other Meat Type Chicken Production
18,112390,Other Poultry Production
19,112330,Turkey Production
20,112340,Poultry Hatcheries
21,111422,Floriculture Production
22,111422,Floriculture Production
23,111411,Mushroom Production
24,111419,Other Food Crops Grown under Cover
25,112120,Dairy Cattle and Milk Production
26,111150,Corn Farming
27,111920,Cotton Farming
28,115116,Farm Management Services
29,111998,All Other Misc. Crop Farming
30,111199,All Other Grain Farming
31,111998,All Other Misc. Crop Farming
32,111940,Hay Farming
33,111120,Oilseed (Except Soybean) Farming
34,111191,Oilseed and Grain Combination Farming
35,111992,Peanut Farming
36,111160,Rice Farming
37,111110,Soybean Farming
38,111991,Sugar Beet Farming
39,111930,Sugarcane Farming
40,111910,Tobacco Farming
41,111140,Wheat Farming
42,541320,Landscape Architectural Services
43,561730,Landscaping Services
44,115115,Farm Labor Contractors and Crew Leaders
45,115115,Farm Labor Contractors and Crew Leaders
46,115113,"Crop Harvesting, Primarily by Machine"
47,111334,Berry (Except Strawberry) Farming
48,111333,Strawberry Farming
49,111332,Grape Vineyards
50,115115,Farm Labor Contractors and Crew Leaders
51,112990,Animal Production NOC
52,112920,Horses and Other Equine Production
53,115210,Support Activities for Animal Production
54,112130,Dual-Purpose Cattle Ranching and Farming
55,112111,Beef Cattle Ranching and Farming
56,112420,Goat Farming
57,112410,Sheep Farming
58,112210,Hog and Pig Farming
59,111421,Nursery and Tree Production
60,238910,Site Preparation Contractors
61,561730,Landscaping Services
62,561730,Landscaping Services
63,561730,Landscaping Services
64,112519,Other Aquaculture
65,112511,Finfish Farming and Fish Hatcheries
66,112512,Shellfish Farming
67,112930,Fur-Bearing Animal and Rabbit Production
68,221310,Water Supply and Irrigation Systems
69,493130,Farm Product Warehousing and Storage
70,115111,Cotton Ginning
71,115111,Cotton Ginning
72,814110,Private Households
73,814110,Private Households
74,814110,Private Households
75,814110,Private Households
76,814110,Private Households
77,812910,Pet Care (Except Veterinary) Services
78,561720,Janitorial Services
79,212113,Anthracite Mining
80,212111,Bituminous Coal and Lignite Surface Mining
81,212112,Bituminous Coal Underground Mining
82,212113,Anthracite Mining
83,212299,All Other Metal Ore Mining
84,212399,All Other Nonmetallic Mineral Mining
85,212234,Copper Ore and Nickel Ore Mining
86,212221,Gold Ore Mining
87,212210,Iron Ore Mining
88,212324,Kaolin and Ball Clay Mining
89,212231,Lead Ore and Zinc Ore Mining
90,212393,Other Chemical and Fertilizer Mineral Mining
91,212392,Phosphate Rock Mining
92,212391,"Potash, Soda, and Borate Mineral Mining"
93,212222,Silver Ore Mining
94,212291,"Uranium, Radium, Vanadium Ore Mining"
95,213114,Dredging: Gold--Endless Bucket or Ladder Type
96,213114,Dredging: Gold--Endless Bucket or Ladder Type
97,212299,All Other Metal Ore Mining
98,212399,All Other Nonmetallic Mineral Mining
99,212234,Copper Ore and Nickel Ore Mining
100,212221,Gold Ore Mining
101,212210,Iron Ore Mining
102,212324,Kaolin and Ball Clay Mining
103,212231,Lead Ore and Zinc Ore Mining
104,212393,Other Chemical and Fertilizer Mineral Mining
105,212392,Phosphate Rock Mining
106,212391,"Potash, Soda, and Borate Mineral Mining"
107,212222,Silver Ore Mining
108,212291,"Uranium, Radium, Vanadium Ore Mining"
109,211112,Natural Gas Liquid Extraction
110,211111,Crude Petroleum and Natural Gas Extraction
111,211111,Crude Petroleum and Natural Gas Extraction
112,213112,Support Activities for Oil and Gas Operations
113,213112,Support Activities for Oil and Gas Operations
114,331410,Nonferrous Metal (Except Aluminum) Smelting and Refining
115,331410,Nonferrous Metal (Except Aluminum) Smelting and Refining
116,331313,Alumina Refining and Primary Aluminum Production
117,324199,All Other Petroleum and Coal Products Mfg.
118,325998,All Other Misc. Chemical Product and Preparation Mfg.
119,331410,Nonferrous Metal (Except Aluminum) Smelting and Refining
120,331410,Nonferrous Metal (Except Aluminum) Smelting and Refining
121,331313,Alumina Refining and Primary Aluminum Production
122,331410,Nonferrous Metal (Except Aluminum) Smelting and Refining
123,331314,Secondary Smelting and Alloying of Aluminum
124,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
125,331410,Nonferrous Metal (Except Aluminum) Smelting and Refining
126,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (Except Copper and Aluminum)"
127,335991,Carbon and Graphite Product Mfg.
128,327992,Ground or Treated Mineral and Earth Mfg.
129,324199,All Other Petroleum and Coal Products Mfg.
130,324121,Asphalt Paving Mixture and Block Mfg.
131,325193,Ethyl Alcohol Mfg.
132,325998,All Other Misc. Chemical Product and Preparation Mfg.
133,325193,Ethyl Alcohol Mfg.
134,325998,All Other Misc. Chemical Product and Preparation Mfg.
135,324199,All Other Petroleum and Coal Products Mfg.
136,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."
137,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."
138,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."
139,212319,Other Crushed and Broken Stone Mining and Quarrying
140,212311,Dimension Stone Mining and Quarrying
141,212313,Crushed and Broken Granite Mining and Quarrying
142,327991,Cut Stone and Stone Product Mfg.
143,212319,Other Crushed and Broken Stone Mining and Quarrying
144,327410,Lime Mfg.
145,212319,Other Crushed and Broken Stone Mining and Quarrying
146,212312,Crushed and Broken Limestone Mining and Quarrying
147,327993,Mineral Wool Mfg.
148,327310,Cement Mfg.
149,327310,Cement Mfg.
150,327310,Cement Mfg.
151,212319,Other Crushed and Broken Stone Mining and Quarrying
152,327910,Abrasive Product Mfg.
153,327910,Abrasive Product Mfg.
154,327120,Clay Building Material and Refractories Mfg.
155,327910,Abrasive Product Mfg.
156,327910,Abrasive Product Mfg.
157,327910,Abrasive Product Mfg.
158,327910,Abrasive Product Mfg.
159,327910,Abrasive Product Mfg.
160,327910,Abrasive Product Mfg.
161,327910,Abrasive Product Mfg.
162,327991,Cut Stone and Stone Product Mfg.
163,327991,Cut Stone and Stone Product Mfg.
164,327999,All Other Misc. Nonmetallic Mineral Product Mfg.
165,327999,All Other Misc. Nonmetallic Mineral Product Mfg.
166,327910,Abrasive Product Mfg.
167,331491,"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"
168,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
169,331491,"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"
170,331523,Nonferrous Metal Die-Casting Foundries
171,331523,Aluminum Die-Casting Foundries
172,311824,"Dry Pasta, Dough, and Flour Mixes Mfg. from Purchased Flour"
173,311811,Retail Bakeries
174,311812,Commercial Bakeries
175,311821,Cookie and Cracker Mfg.
176,311813,"Frozen Cakes, Pies, and Other Pastries Mfg."
177,311119,Other Animal Food Mfg.
178,311211,Flour Milling
179,311211,Flour Milling
180,311211,Flour Milling
181,311213,Malt Mfg.
182,311212,Rice Milling
183,311230,Breakfast Cereal Mfg.
184,311313,Beet Sugar Mfg.
185,311314,Cane Sugar Mfg.
186,311930,Flavoring Syrup and Concentrate Mfg.
