Name,Address,City,State,Zip Code,County,Minority Group(s),Contact Name,Contact Phone Number,Contact Fax,Certification Number,Certification Date,Contact Email Address,Website,NAICS Codes(s),Products / Services,Geocoded Location
"1ST CHOICE, LLC",8121 GEROGIA AVENUE,SILVER SPRING,MD,20910,BALTIMORE CITY,AFRICAN AMERICAN / FEMALE,MICHELLE A. BELL,3015636404,8668050793,07-362,10/10/2007 12:00:00 AM,RWILSON@1STCHOICEGOV.COM,http://WWW.1STCHOICEGOV.COM,"541611-MBE/DBE/SBE, 541612-MBE/DBE/SBE, 561110-MBE/DBE/SBE, 561311-MBE/DBE/SBE, 561320-MBE/DBE/SBE",EMPLOYMENT PLACEMENT AGENCIES EXECUTIVE PLACEMENT SERVICES HUMAN RESOURCES CONSULTING SERVICES MANAGEMENT SERVICES ORGANIZATIONAL DEVELOPMENT AND TRAINING TEMPORARY HELP SERVICES OFFICE ADMINISTRATIVE SERVICES DOCUMENT DATA RECORD RETRIEVAL ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"8121 GEROGIA AVENUE
SILVER SPRING, MD 20910
"
"1ST CLASS SECURITY SERVICES, LLC",PO BOX 41662,BALTIMORE,MD,21203,BALTIMORE,AFRICAN AMERICAN / FEMALE,LATANYA BROWN,4109615542,,14-369,07/10/2014 12:00:00 AM,LBROWN@1STCLASSSECURITYSERVICES.COM,http://WWW.1STCLASSSECURITYSERVICES.COM,561612-MBE/DBE/SBE,SECURITY GUARDS AND PATROL SERVICES,"PO BOX 41662
BALTIMORE, MD 21203
"
"A & S REFUSE, LLC",P. O. BOX 25882,BALTIMORE,MD,21224,ANNE ARUNDEL,FEMALE,ANGELA WATSON,4102823867,4102823868,14-327,06/11/2014 12:00:00 AM,AWATSON@ASREFUSE.COM,,562111-MBE/DBE/SBE,SOLID WASTE COLLECTION,"P. O. BOX 25882
BALTIMORE, MD 21224
"
A DOSE OF BLOOM,P.O. BOX 1325,RANDALLSTOWN,MD,21133,BALTIMORE,AFRICAN AMERICAN,DONALD CHEEK,4109634457,4105213290,09-009,01/21/2009 12:00:00 AM,DCHEEK405@GMAIL.COM,http://WWW.ADOSEOFBLOOM.COM,453110-MBE/DBE/SBE,FLORISTS SPECIFICALLY INTERIOR AND EXTERIOR PLANTSCAPES,"P.O. BOX 1325
RANDALLSTOWN, MD 21133
"
"A FRIEND OF THE FAMILY, INC.",P. O. BOX 5051,WILMINGTON,DE,19808-0051,OTHER STATE,FEMALE,KIM L. ALLEN,3024634603,,13-384,08/19/2013 12:00:00 AM,,http://WWW.AFRIENDOFTHEFAMILY.COM,611710-MBE-ONLY,EDUCATIONAL SUPPORT SERVICES SPECIFICALLY EDUCATIONAL CONSULTANTS GUIDANCE COUNSELING EDUCATIONAL SUPPORT,"P. O. BOX 5051
WILMINGTON, DE 19808-0051
"
"A. BROWN & ASSOCIATES, LLC",PO BOX 10,COCKEYSVILLE,MD,21030,BALTIMORE,FEMALE,ANGELA J. BROWN,4107857410,4107857411,05-553,12/10/2005 12:00:00 AM,ABROWN@ABROWNCPAS.COM,http://WWW.ABROWNCPAS.COM,"541211-MBE/DBE/SBE, 541213-MBE/DBE/SBE",TAX PREPARATION SERVICES SPECIFICALLY TAX PREPARATION PERSONAL BUSINESS OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS SPECIFICALLY ACCOUNTING AUDITING AND BOOKKEEPING SERVICES OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,"PO BOX 10
COCKEYSVILLE, MD 21030
"
"A. THOMPSON & ASSOCIATES, INC.",P. O. BOX 176,DEALE,MD,20751,ANNE ARUNDEL,AFRICAN AMERICAN,"ALEXANDER M. THOMPSON, JR.",4108679121,4108679123,08-674,12/08/2008 12:00:00 AM,ALEX@ATHOMPSONASSOCIATES.COM,,"541613-MBE/DBE/SBE, 541618-MBE/DBE/SBE, 541820-MBE/DBE/SBE",MARKETING CONSULTING SERVICES SPECIFICALLY ASSISTING CLIENTS ON MARKETING STRATEGIES RELATING TO HEALTH CARE BENEFITS OTHER MANAGEMENT CONSULTING SERVICES SPECIFICALLY BENEFITS ADMINISTRATOR OF HEALTH CARE BENEFITS INCLUDING PREPARATION OF RFPS CONTRACT NEGOTIATION LIAISON WITH PROVIDERS PROCEDURE REVIEWS AND REPORT WRITING PUBLIC RELATIONS AGENCIES SPECIFICALLY DESIGNING AND IMPLEMENTING PUBLIC RELATIONS CAMPAIGNS RELATING TO HEALTH CARE BENEFITS,"P. O. BOX 176
DEALE, MD 20751
"
A.S. TOURS INC.,P. O. BOX 26463,BALTIMORE,MD,21207,BALTIMORE,AFRICAN AMERICAN,ALBERT SPENCE,4103676900,4103677888,00-336,12/21/2000 12:00:00 AM,ALSASTOURS@YAHOO.COM,http://WWW.MIDWAYLIMO.COM,"485320-MBE/DBE/SBE, 485510-MBE/DBE/SBE, 561510-MBE/DBE/SBE",TRAVEL AGENCIES LIMOUSINE SERVICE CHARTER BUS INDUSTRY SPECIFICALLY MOTOR COACH SERVICES,"P. O. BOX 26463
BALTIMORE, MD 21207
"
"A+ QUALITY EDUCATION, LLC",P. O. BOX 1312,LANHAM,MD,20703,PRINCE GEORGE'S,AFRICAN AMERICAN / FEMALE,"HEATHER R. HARDING, ED.D.",2408381971,,12-509,08/22/2012 12:00:00 AM,INFO@AESINOW.COM,http://WWW.AESINOW.COM,"541611-MBE/DBE/SBE, 541612-MBE/DBE/SBE, 541720-MBE/DBE/SBE, 611430-MBE/DBE/SBE, 611691-MBE/DBE/SBE, 611710-MBE/DBE/SBE",ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY CONTRACT MANAGEMENT HUMAN RESOURCES CONSULTING SERVICES SPECIFICALLY WORKFORCE DEVELOPMENT AND TRAINING RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING EXAM PREPARATION AND TUTORING EDUCATIONAL SUPPORT SERVICES SPECIFICALLY EDUCATIONAL CONSULTANTS EDUCATIONAL TESTING SERVICES AND EDUCATIONAL TESTING EVALUATION SERVICES,"P. O. BOX 1312
LANHAM, MD 20703
"
"AA REFUSE, INC.",P.O. BOX 5688,DERWOOD,MD,20855,MONTGOMERY,AFRICAN AMERICAN,ANTHONY YOUNG,3012082670,3012082676,04-543,12/09/2004 12:00:00 AM,AAREFUSE@YAHOO.COM,http://WWW.AAREFUSEINC.COM,562111-MBE/DBE/SBE,SOLID WASTE COLLECTION SPECIFICALLY REFUSE COLLECTION AND DISPOSAL SERVICES,"P.O. BOX 5688
DERWOOD, MD 20855
"
"AARON'S CONCRETE PUMPING, INC.",P O BOX 488,WESTMINSTER,MD,21158,CARROLL,FEMALE,TRACEY RHOTEN,4107951047,4107951032,08-383,09/11/2008 12:00:00 AM,TRACEY@AARONSCONCRETEPUMPING.NET,http://WWW.AARONSCONCRETEPUMPING.NET,"238110-MBE/DBE/SBE, 423320-MBE/DBE/SBE, 484220-MBE/DBE/SBE, 488490-MBE/DBE/SBE, 561790-MBE/DBE/SBE",POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS SPECIFICALLY CONCRETE PUMPING CONCRETE WORK POURED CONCRETE FOUNDATION SIDEWALKS DRIVEWAYS CURBS PATIOS PARKING LOTS GUTTERS BRICK STONE PAVERS ETC BRICK STONE AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS SPECIFICALLY CONCRETE MIX SPECIALIZED FREIGHT EXCEPT USED GOODS TRUCKING LOCAL SPECIFICALLY HAULING DUMPING OF AGGREGATES SAND GRAVEL DIRT AND OTHER MATERIALS OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION SPECIFICALLY SNOW REMOVAL OTHER SERVICES TO BUILDINGS AND DWELLINGS SPECIFICALLY SNOW REMOVAL PARKING LOTS DRIVEWAYS,"P O BOX 488
WESTMINSTER, MD 21158
"
