idnaicsLookup	naicsCode	naicsName		#REF!	#REF!
2	111421	Nursery and Tree Production		#REF!	#REF!
3	111130	Dry Pea and Bean Farming		#REF!	#REF!
4	111219	Other Vegetable (Except Potato) and Melon Farming		#REF!	#REF!
5	111211	Potato Farming		#REF!	#REF!
6	111219	Other Vegetable (Except Potato) and Melon Farming		#REF!	#REF!
7	111320	Citrus (Except Orange) Groves		#REF!	#REF!
8	111336	Fruit and Tree Nut Combination Farming		#REF!	#REF!
9	111331	Apple Orchards		#REF!	#REF!
10	111339	Other Noncitrus Fruit Farming		#REF!	#REF!
11	111335	Tree Nut Farming		#REF!	#REF!
12	115115	Farm Labor Contractors and Crew Leaders		#REF!	#REF!
13	111310	Orange Groves		#REF!	#REF!
14	113210	Forest Nurseries and Gathering of Forest Products		#REF!	#REF!
15	112910	Apiculture		#REF!	#REF!
16	112310	Chicken Egg Production		#REF!	#REF!
17	112320	Broilers and Other Meat Type Chicken Production		#REF!	#REF!
18	112390	Other Poultry Production		#REF!	#REF!
19	112330	Turkey Production		#REF!	#REF!
20	112340	Poultry Hatcheries		#REF!	#REF!
21	111422	Floriculture Production		#REF!	#REF!
22	111422	Floriculture Production		#REF!	#REF!
23	111411	Mushroom Production		#REF!	#REF!
24	111419	Other Food Crops Grown under Cover		#REF!	#REF!
25	112120	Dairy Cattle and Milk Production		#REF!	#REF!
26	111150	Corn Farming		#REF!	#REF!
27	111920	Cotton Farming		#REF!	#REF!
28	115116	Farm Management Services		#REF!	#REF!
29	111998	All Other Misc. Crop Farming		#REF!	#REF!
30	111199	All Other Grain Farming		#REF!	#REF!
31	111998	All Other Misc. Crop Farming		#REF!	#REF!
32	111940	Hay Farming		#REF!	#REF!
33	111120	Oilseed (Except Soybean) Farming		#REF!	#REF!
34	111191	Oilseed and Grain Combination Farming		#REF!	#REF!
35	111992	Peanut Farming		#REF!	#REF!
36	111160	Rice Farming		#REF!	#REF!
37	111110	Soybean Farming		#REF!	#REF!
38	111991	Sugar Beet Farming		#REF!	#REF!
39	111930	Sugarcane Farming		#REF!	#REF!
40	111910	Tobacco Farming		#REF!	#REF!
41	111140	Wheat Farming		#REF!	#REF!
42	541320	Landscape Architectural Services		#REF!	#REF!
43	561730	Landscaping Services		#REF!	#REF!
44	115115	Farm Labor Contractors and Crew Leaders		#REF!	#REF!
45	115115	Farm Labor Contractors and Crew Leaders		#REF!	#REF!
